system:index,0_2013_precipitation,10_2023_precipitation,11_2024_precipitation,1_2014_precipitation,2_2015_precipitation,3_2016_precipitation,4_2017_precipitation,5_2018_precipitation,6_2019_precipitation,7_2020_precipitation,8_2021_precipitation,9_2022_precipitation,BareGround,BioRegion,Biome,ID,Month,Notes,Year,aspect,blue,bsi,calcite,chlorite,dolomite,elevation,evi,exg,goethite,green,gypsum,hematite,illite_muscovite,kaolinite,landforms,meanAnnualPrecipitation,msavi,ndmi,ndvi,nir,osavi,red,satvi,savi,slope,swir1,swir2,swirRatio,vegType,vermiculite,.geo
000000000000000000c6,357.84941869974136,433.3300994038582,335.71138590574265,338.46118795871735,401.7339391708374,313.8155654966831,333.15071272850037,316.13649320602417,265.6511411368847,359.7555356025696,389.47532176971436,416.8461409509182,5,Albany Thicket,Albany Thicket,J_2141,9,RP332501201609,2016,-0.7755477025439415,0.029679967488937666,0.14208483917364556,0.0,0.0,0.0,476.86412787964264,0.1929581863363416,0.007895570058335312,0.0,0.054883926138316844,0.0,0.10784313827753067,0.0,0.0,5.0,458.0,0.1824211823825383,-0.06967158222568387,0.42745489797011527,0.17942973222455677,0.30259449916598824,0.07219231054432021,0.31571533199930396,0.21411692509081756,3.521448305082478,0.20661408649288993,0.14965440853414366,1.382258553094689,,0.0,"{""type"":""Point"",""coordinates"":[25.88185322609063,-33.17871727174737]}"
000000000000000000ce,468.5751316547394,560.2785050868988,383.4567006826401,537.5558794438839,485.0799815058708,429.39608466625214,471.38324958086014,485.5441498160362,337.0521357059479,531.4424675107002,492.96091413497925,582.9900027215481,45,Albany Thicket,Albany Thicket,J_1014,11,RP322526201911,2019,0.9973217878512527,0.05646274031412007,0.24774376810871226,0.0,0.0,0.0,1159.3349168646082,0.09091689040853407,0.003275665396607687,0.0,0.09141961218271573,0.0,0.0,0.0,0.0,4.0,493.0,0.08607728027532899,-0.19361296523353552,0.18121108570602903,0.1806697650221918,0.13732027451810816,0.12447023961224073,0.2111246838917925,0.1022284494620038,14.99054306827645,0.26491098098120613,0.2123459601204073,1.2529383831522527,,0.0,"{""type"":""Point"",""coordinates"":[25.65513469212923,-32.45300303440009]}"
0000000000000000010c,343.04102739691734,408.9367408454418,274.86244839429855,365.3942685723305,317.1964450478554,304.28507444262505,351.0237753391266,349.42640832066536,252.60148134827614,369.72662472724915,357.03184512257576,427.2919550538063,95,Albany Thicket,Albany Thicket,J_1024,11,RP322533201911,2019,0.9372743379994448,0.06792332279975667,0.25826883220085595,0.03957652642081181,0.0,0.0,978.1126893939393,0.07758796738220775,-0.007822813118709197,0.0651371505986335,0.12081096912593103,0.0,0.06749109028147139,0.03957652642081181,0.0,4.0,375.0,0.0808867099236302,-0.17248073468605676,0.13464371165063124,0.2379276588926036,0.11299610571498335,0.18152142108672048,0.13628471664604588,0.0920482237548144,13.662595287416922,0.33704851375836326,0.28083535582956043,1.2003950903361496,,0.0,"{""type"":""Point"",""coordinates"":[25.77429079047941,-32.17227586847935]}"
0000000000000000010b,278.3086607158184,390.9113637804985,254.5385290980339,296.8859163224697,281.95296731591225,238.19816476106644,219.2068900167942,298.94784727692604,203.76432991027832,303.86329689621925,345.9491655230522,415.711111754179,75,Albany Thicket,Albany Thicket,J_0776,11,RP322413201911,2019,-0.045010468027346325,0.07692838688554139,0.22817673719531587,0.029411764815449715,0.0,0.0,957.771210676835,0.08787880748780257,-0.0029504486618011304,0.03529411926865578,0.13239921641503205,0.0,0.03529411926865578,0.029411764815449715,0.029411764815449715,5.0,329.0,0.09036386742463441,-0.1374621145761047,0.14518893857418189,0.25376752962858135,0.12350595966904816,0.1890540689201555,0.11467698696215907,0.10196505256842382,1.1352202140569003,0.3380732077916993,0.2824294414687315,1.1982355765550903,,0.0,"{""type"":""Point"",""coordinates"":[24.589199962606152,-32.130128445322185]}"
0000000000000000010d,343.04102739691734,408.9367408454418,274.86244839429855,365.3942685723305,317.1964450478554,304.28507444262505,351.0237753391266,349.42640832066536,252.60148134827614,369.72662472724915,357.03184512257576,427.2919550538063,60,Albany Thicket,Albany Thicket,J_1386,8,RP322533202108,2021,0.9384295878027804,0.059245121481159124,0.24312823578828646,0.039470415647378895,0.0,0.0,977.990019011407,0.09455820772896022,-0.01079274319863025,0.06514886412557087,0.10181993631355664,0.0,0.06714381860434557,0.039470415647378895,0.0,4.0,375.0,0.09631188815466693,-0.16069152510721424,0.17342631074780518,0.22079179042192468,0.14007027334969194,0.15226877812197004,0.1839982686925524,0.11082000061940445,13.571908454478015,0.3053812181768309,0.22846941911958923,1.3280875532119447,,0.0,"{""type"":""Point"",""coordinates"":[25.774286331378352,-32.1722714093783]}"
0000000000000000010e,278.3086607158184,390.9113637804985,254.5385290980339,296.8859163224697,281.95296731591225,238.19816476106644,219.2068900167942,298.94784727692604,203.76432991027832,303.86329689621925,345.9491655230522,415.711111754179,60,Albany Thicket,Albany Thicket,J_1652,8,RP322413202108,2021,-0.011102640224429793,0.06520642200242224,0.2355180227646383,0.029411764815449715,0.0,0.0,957.7806726669826,0.08604121119955714,-0.0019648604947334215,0.03529411926865578,0.11113002407485872,0.0,0.03529411926865578,0.029411764815449715,0.029411764815449715,5.0,329.0,0.08460044280252205,-0.15894552799182615,0.15412208549448916,0.21274465921082128,0.125143295273093,0.15761889236366394,0.15285464744328436,0.09827194635702054,1.1186516687012806,0.2942576194786449,0.23570845393646617,1.2445681337946572,,0.0,"{""type"":""Point"",""coordinates"":[24.58919996260615,-32.13011952712008]}"
00000000000000000066,277.31395077705383,318.8259711563587,232.64477708935738,278.2021935284138,294.46084076166153,206.79384842514992,204.34542700648308,257.7828543782234,191.77027615904808,301.7973082959652,282.02909180521965,312.5404281914234,45,Albany Thicket,Albany Thicket,J_1899,10,RP322428202210,2022,-0.8654277014234283,0.048431150602966835,0.1931956715150415,0.06159723954456354,0.12109063470192839,0.0,580.8374823860968,0.10390074121358531,0.016552543067257414,0.03679318130611254,0.08802376100999082,0.0,0.00908186702611526,0.0,0.0,4.0,289.0,0.09840259254468671,-0.11112609884656614,0.21636944278521741,0.17239182199206696,0.16041034514661015,0.11106382834975738,0.18602267558611635,0.11740722629723274,2.22713195762482,0.21549744971233004,0.16653691902021783,1.294062193316885,,0.0,"{""type"":""Point"",""coordinates"":[24.71722967205269,-32.81632167003276]}"
00000000000000000067,277.31395077705383,318.8259711563587,232.64477708935738,278.2021935284138,294.46084076166153,206.79384842514992,204.34542700648308,257.7828543782234,191.77027615904808,301.7973082959652,282.02909180521965,312.5404281914234,55,Albany Thicket,Albany Thicket,W_0296,7,,2024,-0.9063351237344364,0.03721914565852967,0.14078201435439855,0.06209242477936048,0.10507464635996487,0.0,580.632221700329,0.12528681211582987,0.012449518512775218,0.035718387886951836,0.06291610737951947,0.0,0.00566960484867311,0.0,0.0,4.0,289.0,0.11293442715650549,-0.06525103728422095,0.3028309951930496,0.14232235174746846,0.20276968610880242,0.07616355058773407,0.21700699577705582,0.1381209912631589,2.384001622126102,0.16223337792101578,0.12533346266464318,1.2944279230497655,,0.0,"{""type"":""Point"",""coordinates"":[24.71731885407376,-32.816343965538024]}"
000000000000000000c5,244.9906992316246,368.7768519818783,276.91700583696365,401.5540241897106,267.8025977611542,257.25110882520676,291.02380606532097,351.55639827251434,343.08735424280167,453.6361945569515,463.4504759609699,572.1415148079395,10,Alluvial Vegetation,Azonal Vegetation,J_1815,1,RP292509202201,2022,0.4922027290448343,0.03557403409239958,0.053437133749028344,0.0,0.0,0.0,1187.817738791423,0.2750012106307534,0.03578086589512072,0.0,0.0746280011624737,0.0,0.0,0.0,0.0,5.0,406.0,0.2555487196580244,0.020987256608002946,0.49531717909242207,0.23040915103393225,0.38618570667842206,0.07668787042009435,0.34554669243550445,0.2870128662497909,0.6683291821045252,0.23497538117521222,0.14667286614925537,1.6124939041295712,17.0,0.0,"{""type"":""Point"",""coordinates"":[25.07864873063658,-29.4483135942535]}"
00000000000000000365,194.11392349004745,241.24782234430313,170.8360072374344,177.6061983704567,175.0284081697464,157.89127057790756,141.97806629538536,193.99113923311234,138.89011108875275,185.43842780590057,224.14865419268608,269.55561792850494,35,Inland Saline Vegetation,Azonal Vegetation,J_2133,10,RP322209201510,2015,-0.40475347323590655,0.07440287213433874,0.19111606085062138,0.040440594496427985,0.0,0.0,863.2741551642076,0.10005116328660901,-0.010090732878727438,0.0,0.11129203608976782,0.0,0.085605518551085,0.01707870235266798,0.0,5.0,234.0,0.09880554033483228,-0.09433028822510316,0.16373424760390898,0.23176471571278878,0.1374725830350701,0.16278368159454815,0.09590560501385507,0.11198569342728061,1.3120151656630605,0.2800133410293338,0.2630111073551151,1.0759345697028928,9.0,0.0,"{""type"":""Point"",""coordinates"":[22.8022642655493,-32.47878555669112]}"
