system:index,0_2013_precipitation,10_2023_precipitation,11_2024_precipitation,1_2014_precipitation,2_2015_precipitation,3_2016_precipitation,4_2017_precipitation,5_2018_precipitation,6_2019_precipitation,7_2020_precipitation,8_2021_precipitation,9_2022_precipitation,BareGround,BioRegion,Biome,ID,Month,Notes,Year,aspect,blue,bsi,calcite,chlorite,dolomite,elevation,evi,exg,goethite,green,gypsum,hematite,illite_muscovite,kaolinite,landforms,meanAnnualPrecipitation,msavi,nbr,nbr2,ndmi,ndvi,nir,osavi,red,satvi,savi,slope,swir1,swir2,swirRatio,vegType,vermiculite,.geo
000000000000000000c6,357.84941869974136,433.3300994038582,335.71138590574265,338.46118795871735,401.7339391708374,313.8155654966831,333.15071272850037,316.13649320602417,265.6511411368847,359.7555356025696,389.47532176971436,416.8461409509182,5,Albany Thicket,Albany Thicket,J_2141,9,RP332501201609,2016,-0.7755477025439415,0.025495956746591438,0.14216595517535358,0.0,0.0,0.0,476.86412787964264,0.1962829239641942,0.005934790785143398,0.0,0.049808180535966154,0.0,0.10784313827753067,0.0,0.0,5.0,458.0,0.18587346062533555,0.09517021120631419,0.16074896936244001,-0.06536996005900766,0.45261743874913046,0.17897465914433475,0.3141737207174861,0.0657745181006112,0.3260738330235995,0.21909379280952987,3.521448305082478,0.203524682651622,0.14785745181006113,1.3831467209817325,,0.0,"{""type"":""Point"",""coordinates"":[25.88185322609063,-33.17871727174737]}"
000000000000000000ce,468.5751316547394,560.2785050868988,383.4567006826401,537.5558794438839,485.0799815058708,429.39608466625214,471.38324958086014,485.5441498160362,337.0521357059479,531.4424675107002,492.96091413497925,582.9900027215481,45,Albany Thicket,Albany Thicket,J_1014,11,RP322526201911,2019,0.9973217878512527,0.05246301662707839,0.2714674059257371,0.0,0.0,0.0,1159.3349168646082,0.09348614354244038,-0.0023824465558194763,0.0,0.08773707838479813,0.0,0.0,0.0,0.0,4.0,493.0,0.09074274931200327,-0.10268820375204088,0.11367482465477287,-0.2180566276620516,0.18954281978256063,0.18145273159144892,0.1439049899719673,0.12456881235154399,0.23250841986821558,0.10752578763171787,14.99054306827645,0.28433377672209026,0.22782342042755344,1.2565267696516533,,0.0,"{""type"":""Point"",""coordinates"":[25.655134692129227,-32.45300303440009]}"
0000000000000000010c,343.04102739691734,408.9367408454418,274.86244839429855,365.3942685723305,317.1964450478554,304.28507444262505,351.0237753391266,349.42640832066536,252.60148134827614,369.72662472724915,357.03184512257576,427.2919550538063,95,Albany Thicket,Albany Thicket,J_1024,11,RP322533201911,2019,0.9372743379994448,0.06414521780303031,0.278959425250915,0.03957652642081181,0.0,0.0,978.1126893939393,0.07636015279444332,-0.018887452651515146,0.0651371505986335,0.11360842803030302,0.0,0.06749109028147139,0.03957652642081181,0.0,4.0,375.0,0.08072376956768108,-0.09553875164552171,0.09893020823118136,-0.194870616252901,0.13499353820401613,0.2390309185606061,0.11329722662004785,0.18217817234848488,0.15305606950300213,0.0919710313689641,13.662595287416922,0.3538705018939395,0.28949105113636364,1.2196047125440657,,0.0,"{""type"":""Point"",""coordinates"":[25.77429079047941,-32.17227586847935]}"
0000000000000000010b,278.3086607158184,390.9113637804985,254.5385290980339,296.8859163224697,281.95296731591225,238.19816476106644,219.2068900167942,298.94784727692604,203.76432991027832,303.86329689621925,345.9491655230522,415.711111754179,75,Albany Thicket,Albany Thicket,J_0776,11,RP322413201911,2019,-0.045010468027346325,0.07923584366062915,0.23683837810451353,0.029411764815449715,0.0,0.0,957.771210676835,0.0890770562568429,-0.0037300285986653996,0.03529411926865578,0.13843972831267876,0.0,0.03529411926865578,0.029411764815449715,0.029411764815449715,5.0,329.0,0.09384974741418664,-0.0482887135049749,0.09619488332729548,-0.1475867863435536,0.14430788062065414,0.2684942802669208,0.12467377215581238,0.1997425166825548,0.11862491715425985,0.10484254696860099,1.1352202140569003,0.358552788369876,0.2952517397521449,1.2130336706926983,,0.0,"{""type"":""Point"",""coordinates"":[24.589199962606152,-32.130128445322185]}"
0000000000000000010d,343.04102739691734,408.9367408454418,274.86244839429855,365.3942685723305,317.1964450478554,304.28507444262505,351.0237753391266,349.42640832066536,252.60148134827614,369.72662472724915,357.03184512257576,427.2919550538063,60,Albany Thicket,Albany Thicket,J_1386,8,RP322533202108,2021,0.9384295878027804,0.05451725285171102,0.2682851680869612,0.039470415647378895,0.0,0.0,977.990019011407,0.09118059243539443,-0.018580798479087456,0.06514886412557087,0.09577647338403043,0.0,0.06714381860434557,0.039470415647378895,0.0,4.0,375.0,0.09494120812489734,-0.046985658135321774,0.13586575175306195,-0.17738789728640833,0.16775869112107697,0.22046711026615973,0.13716937794913134,0.1576192965779468,0.1858438250357321,0.10905512302986457,13.571908454478015,0.31991468631178716,0.24241806083650197,1.3144575609567049,,0.0,"{""type"":""Point"",""coordinates"":[25.774286331378352,-32.1722714093783]}"
0000000000000000010e,278.3086607158184,390.9113637804985,254.5385290980339,296.8859163224697,281.95296731591225,238.19816476106644,219.2068900167942,298.94784727692604,203.76432991027832,303.86329689621925,345.9491655230522,415.711111754179,60,Albany Thicket,Albany Thicket,J_1652,8,RP322413202108,2021,-0.011102640224429793,0.0634973945997158,0.24666639241292432,0.029411764815449715,0.0,0.0,957.7806726669826,0.08495887930093361,-0.003958882046423504,0.03529411926865578,0.10829753671245856,0.0,0.03529411926865578,0.029411764815449715,0.029411764815449715,5.0,329.0,0.08582197317137984,-0.06235774881054246,0.11125219626019546,-0.17231413546273747,0.15615108111552975,0.2099228327806727,0.12631147870487766,0.15492572240644245,0.16267904899008517,0.09944646887760038,1.1186516687012806,0.2983687351965894,0.2387920890573188,1.2505235486773738,,0.0,"{""type"":""Point"",""coordinates"":[24.58919996260615,-32.13011952712008]}"
00000000000000000066,277.31395077705383,318.8259711563587,232.64477708935738,278.2021935284138,294.46084076166153,206.79384842514992,204.34542700648308,257.7828543782234,191.77027615904808,301.7973082959652,282.02909180521965,312.5404281914234,45,Albany Thicket,Albany Thicket,J_1899,10,RP322428202210,2022,-0.8654277014234283,0.0422722874589009,0.20271728603198197,0.06159723954456354,0.12109063470192839,0.0,580.8374823860968,0.10136778363603673,0.01242266322217004,0.03679318130611254,0.07608367778299673,0.0,0.00908186702611526,0.0,0.0,4.0,289.0,0.09478469987733652,0.0019987876340659396,0.12881515887966175,-0.12681446215702144,0.23007032553065604,0.155058548614373,0.16235596746444253,0.09747240488492252,0.20712047493362606,0.11482737312061007,2.22713195762482,0.19971852982620955,0.15416139032409587,1.2957817382687078,,0.0,"{""type"":""Point"",""coordinates"":[24.71722967205269,-32.81632167003276]}"
00000000000000000067,277.31395077705383,318.8259711563587,232.64477708935738,278.2021935284138,294.46084076166153,206.79384842514992,204.34542700648308,257.7828543782234,191.77027615904808,301.7973082959652,282.02909180521965,312.5404281914234,55,Albany Thicket,Albany Thicket,W_0296,7,,2024,-0.9063351237344364,0.028415500234852047,0.14304527586799323,0.06209242477936048,0.10507464635996487,0.0,580.632221700329,0.14124834964103467,0.010770925317050262,0.035718387886951836,0.05077881634570221,0.0,0.00566960484867311,0.0,0.0,4.0,289.0,0.12836738453260213,0.07516652669192427,0.1439495334999278,-0.06888246158301524,0.36724249897511596,0.13785542508219825,0.23658881766547507,0.06315941756693286,0.26545377539714893,0.15735270971140994,2.384001622126102,0.15837961484264915,0.11857092531705027,1.336408528435001,,0.0,"{""type"":""Point"",""coordinates"":[24.71731885407376,-32.816343965538024]}"
000000000000000000c5,244.9906992316246,368.7768519818783,276.91700583696365,401.5540241897106,267.8025977611542,257.25110882520676,291.02380606532097,351.55639827251434,343.08735424280167,453.6361945569515,463.4504759609699,572.1415148079395,10,Alluvial Vegetation,Azonal Vegetation,J_1815,1,RP292509202201,2022,0.4922027290448343,0.036900487329434704,0.06101673753427425,0.0,0.0,0.0,1187.817738791423,0.3055281709102627,0.03989161793372319,0.0,0.07693937621832359,0.0,0.0,0.0,0.0,5.0,406.0,0.287112147037165,0.21901558860991197,0.21536471910382574,0.0021942254429410547,0.5319730222341377,0.25142451267056537,0.4151804580790722,0.0766277777777778,0.35955196912409504,0.31612822997291196,0.6683291821045252,0.24711140350877195,0.159254873294347,1.5490166256767035,17.0,0.0,"{""type"":""Point"",""coordinates"":[25.07864873063658,-29.4483135942535]}"
00000000000000000365,194.11392349004745,241.24782234430313,170.8360072374344,177.6061983704567,175.0284081697464,157.89127057790756,141.97806629538536,193.99113923311234,138.89011108875275,185.43842780590057,224.14865419268608,269.55561792850494,35,Inland Saline Vegetation,Azonal Vegetation,J_2133,10,RP322209201510,2015,-0.40475347323590655,0.07453929081389815,0.19175355841380423,0.040440594496427985,0.0,0.0,863.2741551642076,0.09831069397435538,-0.01479207520228463,0.0,0.11757741551642079,0.0,0.085605518551085,0.01707870235266798,0.0,5.0,234.0,0.09829534220020297,-0.0657375870447168,0.02783395552822433,-0.09339874753748902,0.16311427843054385,0.24364628748215136,0.1368429047019637,0.17540761542122804,0.0900668274683932,0.11143446064375515,1.3120151656630605,0.2938583293669681,0.277936173250833,1.0573217097150323,9.0,0.0,"{""type"":""Point"",""coordinates"":[22.8022642655493,-32.47878555669112]}"
